statname,enr_all,female_literacy_rate,girls_toilet_all,schools,electric_all,ROADTOT,MDMTOT,SCHTOT,%girls_toilet,%electric_all,%road,%mdm
Jammu And Kashmir,584967,58.01,4083,4202,3481,22634,23201,28578,97.16801523,82.84150405,79.20078382,81.18482749
Himachal Pradesh,482494,76.6,3756,3782,3769,14929,15331,18024,99.31253305,99.65626653,82.82845095,85.05881047
Punjab,1578960,71.34,9031,9171,9169,28650,19901,28776,98.47344892,99.97819213,99.56213511,69.15832638
Chandigarh,80160,81.38,159,160,160,201,116,201,99.375,100,100,57.71144279
Uttarakhand,697294,70.7,3335,3512,3224,18214,17737,23660,94.96013667,91.79954442,76.98224852,74.96618766
Haryana,1475045,66.77,7409,7663,7649,21824,14642,22268,96.68537126,99.81730393,98.00610742,65.75354769
Delhi                         ,1208151,80.93,1627,2061,2061,5751,3017,5751,78.94226104,100,100,52.46044166
Rajasthan                     ,3988574,52.66,28110,28195,25743,84991,68943,107931,99.69852811,91.30342259,78.74568011,63.87692137
Uttar Pradesh,11981220,59.26,23810,24569,19521,236294,164371,245919,96.91074118,79.45378322,96.08610965,66.8394878
Bihar,4657852,53.33,7120,7627,4434,69162,69140,80166,93.35256326,58.135571,86.27348252,86.24603947
Sikkim,44289,76.43,224,227,227,1079,855,1279,98.6784141,100,84.36278342,66.84910086
Arunachal Pradesh,88822,59.57,415,418,368,2646,3259,4012,99.28229665,88.03827751,65.95214357,81.23130608
Nagaland,90417,76.69,735,736,650,2298,1888,2799,99.86413043,88.31521739,82.10075027,67.45266166
Manipur,145867,73.17,1099,1109,961,4084,3535,4865,99.09828674,86.65464382,83.94655704,72.6618705
Mizoram                       ,64520,89.4,749,753,684,2898,2343,3072,99.4687915,90.83665339,94.3359375,76.26953125
Tripura,197944,83.15,1006,1014,868,3898,4331,4844,99.21104536,85.60157791,80.47068538,89.40957886
Meghalaya                     ,159078,73.78,1151,1555,1173,7551,11059,13277,74.0192926,75.4340836,56.87278753,83.29441892
Assam,1394433,67.27,7597,9062,6800,54335,53184,65894,83.83359082,75.03862282,82.45819043,80.71144566
West Bengal                   ,4396046,71.16,9397,10194,9916,84691,81548,95723,92.1816755,97.27290563,88.47507913,85.19164673
Jharkhand,1585428,56.21,4354,4601,2659,25306,40815,47441,94.63160183,57.79178439,53.34204591,86.03317805
Odisha,1748181,64.36,10102,10745,7702,62223,62536,68978,94.01582131,71.67985109,90.20702253,90.6607904
Chhattisgarh,1540100,60.59,6029,6283,5591,44893,44304,50705,95.95734522,88.98615311,88.53761956,87.37599842
MADHYA PRADESH,3860689,60.02,14207,14893,11826,127889,112875,142587,95.39380917,79.40643255,89.6919074,79.16219571
Gujarat,2688428,70.73,10614,10942,10933,42617,33148,44051,97.00237617,99.91774813,96.7446823,75.24914304
Daman & Diu                   ,8297,79.59,40,42,42,119,96,120,95.23809524,100,99.16666667,80
Dadra & Nagar Haveli          ,19494,65.93,41,41,41,299,283,323,100,100,92.56965944,87.61609907
Maharashtra,6423525,75.48,24728,25025,24290,95739,83058,98213,98.81318681,97.06293706,97.48098521,84.56925254
Andhra Pradesh                ,2209965,59.74,13418,13823,13431,56961,45561,60435,97.07010056,97.16414671,94.25167535,75.38843385
Karnataka,2588481,68.13,17759,18136,17939,56984,48067,61739,97.92126158,98.91376268,92.29822317,77.85516448
Goa                           ,86417,81.84,485,495,495,1433,1295,1462,97.97979798,100,98.01641587,88.57729138
Lakshadweep                   ,4916,88.25,14,14,14,33,39,41,100,100,80.48780488,95.12195122
Kerala,1903389,91.98,4583,4682,4657,15992,11320,16458,97.88551901,99.46604015,97.16855025,68.78113987
Tamil Nadu,4041789,73.86,11927,12471,12461,56547,45254,57539,95.63787988,99.91981397,98.27595196,78.64926398
Puducherry,79221,81.22,344,366,366,718,438,719,93.98907104,100,99.86091794,60.91794159
Andaman & Nicobar Islands     ,23580,81.84,112,112,112,353,333,410,100,100,86.09756098,81.2195122
Telangana,1752416,,13170,13495,13083,38315,28292,40818,97.59170063,96.94701741,93.86790142,69.31255819
