statname,enr_all,female_literacy_rate,girls_toilet_all,schools,electric_all,ROADTOT,MDMTOT,SCHTOT,%girls_toilet,%electric_all,%road,%mdm,OVERALL_LI
Jammu And Kashmir,584967,58.01,4083,4202,3481,22634,23201,28578,67.16801523,82.84150405,79.20078382,71.18482749,68.74
Himachal Pradesh,482494,76.6,3756,3782,3769,14929,15331,18024,79.31253305,99.65626653,82.82845095,85.05881047,83.78
Punjab,1578960,71.34,9031,9171,9169,28650,19901,28776,76.47344892,99.97819213,79.56213511,69.15832638,76.68
Chandigarh,80160,81.38,159,160,160,201,116,201,85.375,100,91,77.71144279,86.43
Uttarakhand,697294,70.7,3335,3512,3224,18214,17737,23660,75.96013667,91.79954442,76.98224852,74.96618766,79.63
Haryana,1475045,66.77,7409,7663,7649,21824,14642,22268,68.68537126,99.81730393,78.00610742,65.75354769,76.64
Delhi,1208151,80.93,1627,2061,2061,5751,3017,5751,78.94226104,100,89,52.46044166,86.34
Rajasthan,3988574,52.66,28110,28195,25743,84991,68943,107931,55.69852811,91.30342259,78.74568011,63.87692137,67.06
Uttar Pradesh,11981220,59.26,23810,24569,19521,236294,164371,245919,61.91074118,79.45378322,76.08610965,66.8394878,69.72
Bihar,4657852,53.33,7120,7627,4434,69162,69140,80166,55.35256326,58.135571,76.27348252,53.24603947,63.82
Sikkim,44289,76.43,224,227,227,1079,855,1279,80.6784141,100,84.36278342,66.84910086,82.2
Arunachal Pradesh,88822,59.57,415,418,368,2646,3259,4012,61.28229665,88.03827751,65.95214357,81.23130608,66.95
Nagaland,90417,76.69,735,736,650,2298,1888,2799,79.86413043,88.31521739,82.10075027,67.45266166,80.11
Manipur,145867,73.17,1099,1109,961,4084,3535,4865,78.09828674,86.65464382,83.94655704,72.6618705,79.85
Mizoram,64520,89.4,749,753,684,2898,2343,3072,99.4687915,92.83665339,94.3359375,76.26953125,91.58
Tripura,197944,83.15,1006,1014,868,3898,4331,4844,99.21104536,85.60157791,80.47068538,81.40957886,87.75
Meghalaya,159078,73.78,1151,1555,1173,7551,11059,13277,74.0192926,75.4340836,56.87278753,83.29441892,75.48
Assam,1394433,67.27,7597,9062,6800,54335,53184,65894,73.83359082,75.03862282,82.45819043,80.71144566,73.18
West Bengal,4396046,71.16,9397,10194,9916,84691,81548,95723,82.1816755,97.27290563,88.47507913,85.19164673,77.08
Jharkhand,1585428,56.21,4354,4601,2659,25306,40815,47441,64.63160183,57.79178439,53.34204591,86.03317805,67.63
Odisha,1748181,64.36,10102,10745,7702,62223,62536,68978,69.01582131,71.67985109,90.20702253,80.6607904,73.45
Chhattisgarh,1540100,60.59,6029,6283,5591,44893,44304,50705,65.95734522,88.98615311,88.53761956,87.37599842,71.04
Madhya Pradesh,3860689,60.02,14207,14893,11826,127889,112875,142587,63.39380917,79.40643255,89.6919074,79.16219571,70.63
Gujarat,2688428,70.73,10614,10942,10933,42617,33148,44051,97.00237617,85.91774813,96.7446823,75.24914304,79.31
Goa,86417,81.84,485,495,495,1433,1295,1462,97.97979798,100,98.01641587,88.57729138,87.4
Kerala,1903389,91.98,4583,4682,4657,15992,11320,16458,97.88551901,99.46604015,98.16855025,90.78113987,93.91
Maharashtra,6423525,75.48,24728,25025,24290,95739,83058,98213,98.81318681,83.06293706,87.48098521,84.56925254,82.91
Andhra Pradesh,2209965,59.74,13418,13823,13431,56961,45561,60435,64.07010056,97.16414671,84.25167535,75.38843385,67.66
Karnataka,2588481,68.13,17759,18136,17939,56984,48067,61739,75.92126158,98.91376268,82.29822317,77.85516448,75.6
Tamil Nadu,4041789,73.86,11927,12471,12461,56547,45254,57539,79.63787988,99.91981397,88.27595196,78.64926398,80.3
