STATNAME,SCHTOT
JAMMU & KASHMIR,28578
HIMACHAL PRADESH,18024
PUNJAB,28776
CHANDIGARH,201
UTTARAKHAND,23660
HARYANA,22268
DELHI,5751
RAJASTHAN,107931
UTTAR PRADESH,245919
BIHAR,80166
SIKKIM,1279
ARUNACHAL PRADESH,4012
NAGALAND,2799
MANIPUR,4865
MIZORAM,3072
TRIPURA,4844
MEGHALAYA,13277
ASSAM,65894
WEST BENGAL,95723
JHARKHAND,47441
ODISHA,68978
CHHATTISGARH,50705
MADHYA PRADESH,142587
GUJARAT,44051
DAMAN & DIU,120
DADRA & NAGAR HAVELI,323
MAHARASHTRA,98213
ANDHRA PRADESH,60435
KARNATAKA,61739
GOA,1462
LAKSHADWEEP,41
KERALA,16458
TAMIL NADU,57539
PUDUCHERRY,719
A & N ISLANDS,410
TELANGANA,40818
